,formula
365,CeSe
366,U
367,TmCd2
368,TiO2
369,TiGePt
370,TiS2
371,CeScSi
372,Ni
373,Ge
374,ThH2
375,CeTe
376,TbHg2
377,TaN2
378,SrC2
379,SmHg2
380,RuO2
381,MgTe
382,ReN2
383,ReC2
384,NpN2
385,NdBiPd
386,NbS2
387,NdCd2
388,NaAgO
389,MnFeTe
390,MnCoSe
391,MnCoTe
392,Mn2Sb
393,MnCoS
394,MgNiH
395,Ba5Sb4
396,MgH2
397,LuSb2
398,MgAgSb
399,LuCd2
400,LiMnAs
401,Mn2Ge
402,DySb
403,LiFeP
404,CrTe
405,LiFeAs
406,EuSe
407,FeN
408,ErSb
409,LaS
410,LaSe
411,SrSi6
412,LiCdAs
413,LuSb
414,LaTe
415,LiF
416,LiCuO
417,LuAs
418,HoSb
419,InAg
420,KAgO
421,FeH
422,CoN
423,CrTe
424,HoCd2
425,MgSnAs2
426,MgSnP2
427,BeSnAs2
428,BeSiP2
429,BeSnP2
430,BeSiAs2
431,BeGeAs2
432,KV(CuSe2)2
433,HoHg2
434,MgO
435,MnN
436,MnAs
437,HoBiPd
438,MnCo
439,MnFe
440,KCu4Se3
441,MnSn
442,MnSb
443,MnSb
444,MnSb
445,NaH
446,MnTe
447,NaAs
448,NdAs
449,Hf2Tl
450,NbCo
451,Sr2YbNbO6
452,Tm5(ReO6)2
453,Hf
454,NiN
455,RbTe
456,O2
457,NpN
458,OsN
459,EuZnGe
460,DyBiPd
461,CsRbP
462,PaN
463,CsRbAs
464,PbS
465,CrO2
466,CrSe2
467,PrAs
468,CrFeTe
469,CrCoTe
470,Pr
471,Na3Sr3GaP4
472,PrN
473,CoTe2
474,PrN
475,CaHg2
476,CaC2
477,CaGe2
478,CaN2
479,CaB2
480,Na3Sr3GaAs4
481,Ca2Sn
482,Ca2Si
483,RhN
484,ReC
485,ScN
486,Ca2Ge
487,Ca2Pb
488,Se
489,RuN
490,RuC
491,YGeAu
492,SiSn
493,SmAs
494,TaC
495,SrO
496,BeB2
497,TaCo
498,BaSi2
499,Be2Si
